strains,AMP,AUG,AXO,AZI,CHL,CIP,COT,FIS,FOX,GEN,KAN,NAL,STR,TET,TIO
SRR3180052,32,8,0.25,4,4,0.015,0.125,32,8,0.5,#N/A,4,8,32,1
SRR1198956,1,1,0.25,#N/A,4,0.01,0.12,#N/A,4,0.5,#N/A,4,#N/A,32,0.5
SRR1573561,32,32,16,#N/A,8,0.01,0.12,256,32,0.25,#N/A,4,#N/A,32,8
SRR3096088,1,1,0.25,#N/A,8,0.01,0.12,32,2,0.5,#N/A,4,64,32,1
SRR2082856,1,1,0.25,#N/A,8,0.03,0.12,64,2,0.25,#N/A,4,#N/A,4,1
SRR2532634,32,16,0.25,#N/A,16,0.01,0.12,64,8,2,#N/A,4,64,32,2
SRR1777667,1,1,0.25,#N/A,8,0.01,0.12,16,4,0.25,#N/A,4,#N/A,4,0.5
SRR4280614,1,1,0.25,4,8,0.015,0.12,256,2,0.25,#N/A,4,8,32,1
SRR3295832,32,8,0.25,4,8,0.015,0.125,256,2,0.5,#N/A,4,64,32,0.5
SRR3056915,32,8,0.25,4,8,0.03,0.125,256,8,0.5,#N/A,4,64,32,1
SRR3665303,2,2,0.25,8,8,0.03,0.12,256,4,0.5,8,4,64,32,2
SRR2532716,1,1,0.25,#N/A,16,0.01,0.25,64,2,0.25,#N/A,2,#N/A,8,1
SRR3223151,1,1,0.25,#N/A,4,0.01,0.12,64,1,0.25,#N/A,4,64,32,0.5
SRR3122772,32,8,0.25,#N/A,8,0.03,0.12,64,2,0.5,#N/A,4,#N/A,32,1
SRR3932981,1,1,0.25,4,4,0.015,0.12,256,4,0.25,#N/A,2,4,32,0.5
SRR3764719,1,1,0.25,#N/A,4,0.01,0.12,16,2,0.25,#N/A,2,#N/A,4,0.5
SRR2939124,1,1,0.25,#N/A,8,0.01,0.12,256,4,0.25,#N/A,4,#N/A,32,0.5
SRR3932954,32,8,0.25,4,8,0.015,0.12,64,2,16,#N/A,2,64,32,1
SRR2533477,1,1,0.25,#N/A,4,0.01,0.12,64,4,0.25,#N/A,2,#N/A,4,1
SRR1588671,1,1,0.25,#N/A,8,0.01,0.12,64,2,0.5,#N/A,4,#N/A,4,0.5
SRR1973650,2,1,0.25,#N/A,8,0.01,0.12,128,4,1,#N/A,8,#N/A,32,1
SRR1257279,32,16,0.25,#N/A,8,0.01,0.25,#N/A,2,16,#N/A,4,64,32,1
SRR3271884,32,32,32,#N/A,8,0.03,0.12,256,32,0.25,#N/A,4,#N/A,32,8
SRR1752735,1,1,0.25,#N/A,8,0.03,0.12,32,4,0.25,#N/A,4,#N/A,32,1
SRR3306277,32,8,0.25,#N/A,4,0.01,0.12,32,1,0.5,#N/A,2,#N/A,4,0.5
SRR1300606,2,1,0.25,#N/A,4,0.01,0.12,#N/A,2,0.25,#N/A,4,#N/A,4,0.5
SRR3000027,1,1,0.25,2,8,0.015,0.125,256,2,0.25,#N/A,4,8,32,1
SRR3115200,32,16,0.25,#N/A,8,0.01,0.12,256,2,0.25,#N/A,4,64,32,1
SRR1631191,1,1,0.25,#N/A,4,0.01,0.12,64,1,0.5,#N/A,4,#N/A,4,1
SRR2567022,32,32,8,4,4,0.015,0.12,256,16,1,64,4,#N/A,32,8
SRR3116163,2,1,0.25,#N/A,8,0.01,0.12,64,4,0.5,#N/A,8,#N/A,32,1
SRR3146668,32,8,16,#N/A,8,0.01,0.25,64,2,0.25,#N/A,2,#N/A,32,1
SRR2567041,1,1,0.25,4,8,0.03,0.12,256,2,0.5,8,4,#N/A,32,1
SRR2015670,32,16,0.25,#N/A,4,0.01,0.12,32,2,0.25,#N/A,2,64,32,1
SRR1534879,1,1,0.25,#N/A,4,0.01,0.12,32,2,0.25,#N/A,2,#N/A,4,0.5
SRR3295822,32,2,8,4,32,0.015,4,256,4,16,#N/A,4,64,32,4
SRR3664886,1,1,0.25,4,8,0.015,0.12,16,2,1,8,4,#N/A,4,0.5
SRR3665171,1,1,0.25,4,4,0.015,0.12,32,1,16,#N/A,4,64,4,1
SRR3295692,1,1,0.25,4,8,0.015,0.25,256,4,0.5,#N/A,4,64,32,1
SRR2566951,32,32,8,4,4,0.015,0.12,256,32,0.5,8,4,#N/A,32,8
SRR3664835,1,1,0.25,4,4,0.015,0.12,256,4,0.25,8,4,64,32,1
SRR2979524,1,1,0.25,#N/A,4,0.01,0.12,256,2,0.5,#N/A,4,#N/A,32,1
SRR1619595,1,1,0.25,#N/A,8,0.01,0.12,64,2,0.25,#N/A,4,#N/A,4,1
